"Marca temporal","Selecciona tu plantel:","Selecciona tu sexo:","Mi edad:","Grado escolar que estudio:","¿Cómo es tu hogar?","Ademas de estudiar, ¿realizas algún trabajo?","¿Te sientes seguro/a en tu escuela?","Si requieres de ayuda, ¿cuentas con personas dispuestas a auxiliarte en tu escuela?","¿Te sientes seguro/a en tu casa?","Si requirieras ayuda en tu hogar, ¿cuentas con personas dispuestas a auxiliarte? ","En el último mes, has sentido de manera continua:","¿Te gustaría hablar con un profesional de la salud sobre alguna(s) de esta(s) emociones que has sentido?","¿Experimentas alguna situación emocional en tu vida que interfiera con la capacidad para trabajar, estudiar, dormir, comer y disfrutar de actividades?","¿Con qué frecuencia experimentas sensaciones de bienestar/seguridad/alegría en tu vida diaria?","¿De qué temas relacionados a la sana convivencia y salud mental te gustaría conocer más?","¿Haz tenido relaciones sexuales?","¿Estuviste de acuerdo en tener relaciones sexuales?","¿A qué edad tuviste tu primera relación sexual? ","La última vez que tuviste relaciones sexuales, ¿tu pareja o tú utilizaron condón o preservativo masculino o femenino?","¿Alguna vez ha sido diagnosticado con una enfermedad de transmisión sexual?","En los últimos 12 meses, ¿has tenido o sentido alguno de los siguientes síntomas? ","¿Existe algo relacionado a tu sexualidad que cause preocupación o estrés en tu vida?","De los siguientes temas, ¿cuál te gustaría conocer un poquito más?","En los últimos 12 meses, ¿participaste en alguna pelea con otros jóvenes?","Durante el mes pasado, ¿alguna vez tomaste alcohol como para sentirte borracho/a?","¿Tienes novio o novia?","¿Cuanto tiempo llevas en tu noviazgo","¿Como evaluas la relación con tu pareja?","Durante los últimos 12 meses, tu pareja intencionalmente ¿te golpeo, abofeteo, o te dañó físicamente de alguna manera?","¿Solicitaste ayuda, a alguien?","¿Alguna vez en tu vida, has consumido alguna droga?","Que sustencia has consumido:","Sientes que el consumo de alguna de las sustancias que has mencionado, ¿te ha causado algún problema en tu vida cotidiana?","¿Te gustaría hablar con un profesional de salud acerca de las adicciones?"
"2022/03/10 12:20:10 p. m. GMT-5","CECyTE Plantel No. 10 - Palo Mulato","Femenino","16","Primer año (primer o segundo semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:20:58 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/10 12:21:15 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:22:04 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/10 12:22:41 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/10 12:22:53 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","Sí","Sí","Tristeza;Ansiedad","Ya estoy llegando con un especialista","No","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:23:13 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes","No","Enfermedades de transmisión sexual","No","No","Sí","Entre 6 meses y un año","10","No","No","No","","",""
"2022/03/10 12:23:32 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:24:15 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Buen trato y compañerismo","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/10 12:24:34 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","16 ","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/10 12:24:39 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","No","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/10 12:24:46 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Femenino","16 años","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:24:48 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Menos de 6 meses","9","No","No","No","","",""
"2022/03/10 12:25:04 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","Sí","No","No","","","","","No","","",""
"2022/03/10 12:25:13 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","No","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:25:24 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","No","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/10 12:25:53 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/10 12:26:54 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","19","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad;No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:27:08 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/10 12:28:15 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","Tristeza","No estoy interesado(a)","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Menos de 6 meses","9","No","No","No","","",""
"2022/03/10 12:28:53 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","Sí","Sí","15","Sí","No","Dolor al orinar o ganas de orinar muy frecuentes","No","Sexualidad plena y responsable","No","Sí","No","","","","","Sí","Marihuana;Cocaína;Inhalantes;Metanfetaminas;Éxtasis;Alucinógenos","No","No estoy interesado(a)"
"2022/03/10 12:29:14 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;Ansiedad","No estoy interesado(a)","No","Algunas veces","Depresión y ansiedad","Sí","Sí","17","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Entre 6 meses y un año","10","No","No","No","","",""
"2022/03/10 12:30:03 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Pocas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/10 12:31:24 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:31:36 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","No","Sí","Tristeza","Me gustaria hablar con un especialista","Si","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","Sí","Sí","Entre 1 y 2 años","10","No","No","No","","",""
"2022/03/10 12:32:25 p. m. GMT-5","CECyTE Plantel No. 10 - Palo Mulato","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","No","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Muchas veces","Manejo de la frustración","Sí","Sí","16","No","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Menos de 6 meses","8","No","No","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/10 12:32:28 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Pocas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:33:51 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","18 años","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;Enojo o rabia","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/10 12:34:48 p. m. GMT-5","CECyTE Plantel No. 02 - Tacotapa","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Nunca","Manejo de la frustración","Sí","Sí","12","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:35:38 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","16","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Muchas veces","Manejo de la frustración","Sí","Sí","16","No","No","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","Sí","No","Sí","Menos de 6 meses","10","No","No","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/10 12:35:54 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","16 años ","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Pocas veces","Depresión y ansiedad","Sí","Sí","Alós 14","No","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/10 12:36:01 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","No","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes;Picazón en la vulva o área genital externa","No","Sexualidad plena y responsable","No","No","Sí","Entre 6 meses y un año","10","No","No","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/10 12:36:25 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Enojo o rabia","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/10 12:36:27 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","16","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","Si","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Entre 1 y 2 años","10","No","No","Sí","Inhalantes","No","No estoy interesado(a)"
"2022/03/10 12:36:49 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","Tristeza;Ansiedad;Enojo o rabia;Confundido ","Me gustaria hablar con un especialista","No","Muchas veces","Depresión y ansiedad","Sí","Sí","14","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","Sí","Sí","No","","","","","Sí","Marihuana","Sí","Si me gustaria ser atendido(a) por un especialista"
"2022/03/10 12:36:57 p. m. GMT-5","CECyTE Plantel No. 02 - Tacotapa","Femenino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Como sobrellevar la dreprecion y anciedad","No","No","No","","","","","No","","",""
"2022/03/10 12:37:58 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","Sí","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:39:01 p. m. GMT-5","CECyTE Plantel No. 03 - Tequila","Masculino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/10 12:39:20 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","16 años ","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/10 12:40:14 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Entre 1 y 2 años","6","No","No","No","","",""
"2022/03/10 12:41:21 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","18","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Buen trato y compañerismo","Sí","Sí","17","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Entre 6 meses y un año","9","No","No","No","","",""
"2022/03/10 12:41:30 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:42:04 p. m. GMT-5","CECyTE Plantel No. 10 - Palo Mulato","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Tristeza;Ansiedad;Enojo o rabia","Me gustaria hablar con un especialista","Si","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:42:11 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/10 12:43:31 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Masculino","16","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","No","No","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes","No","Enfermedades de transmisión sexual","Sí","No","Sí","Entre 1 y 2 años","10","No","No","No","","",""
"2022/03/10 12:44:01 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","Sí","Entre 1 y 2 años","10","No","No","No","","",""
"2022/03/10 12:44:08 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","Sí","Menos de 6 meses","10","No","No","Sí","Marihuana;Metanfetaminas","No","Si me gustaria ser atendido(a) por un especialista"
"2022/03/10 12:44:10 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","19","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","No","Ansiedad","Me gustaria hablar con un especialista","Si","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Entre 6 meses y un año","8","No","No","No","","",""
"2022/03/10 12:44:51 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","Tristeza;Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/10 12:45:16 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Masculino","16 años ","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:45:50 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Masculino","15 ","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Nunca","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:47:09 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","Sí","No","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/10 12:47:23 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Tristeza;Ansiedad;Enojo o rabia","No estoy interesado(a)","Si","Pocas veces","Depresión y ansiedad","Sí","Sí","18","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Mas de 2 años","10","No","No","No","","",""
"2022/03/10 12:47:58 p. m. GMT-5","CECyTE Plantel No. 12 - Miguel Hidalgo","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","No","No","Tristeza;Ansiedad","Ya estoy llegando con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","Sí","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/10 12:48:03 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad;Enojo o rabia","Me gustaria hablar con un especialista","Si","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
